Epoch 1/10
step 0000 | loss 5.8107
step 0020 | loss 4.0075
step 0040 | loss 8.0039
step 0060 | loss 12.1909
step 0080 | loss 7.6495
step 0100 | loss 1.6745
step 0120 | loss 1.9175
step 0140 | loss 6.3103
step 0160 | loss 6.4215
step 0180 | loss 5.8482
step 0200 | loss 3.8356
step 0220 | loss 5.1576
step 0240 | loss 3.8965
step 0260 | loss 7.6876
step 0280 | loss 4.2225
step 0300 | loss 2.4250
step 0320 | loss 5.0474
step 0340 | loss 4.3720
step 0360 | loss 5.9244
step 0380 | loss 7.6261
step 0400 | loss 4.5601
step 0420 | loss 4.3801
step 0440 | loss 3.5544
step 0460 | loss 1.8650
step 0480 | loss 8.6326
step 0500 | loss 2.9726
step 0520 | loss 2.7791
step 0540 | loss 1.4095
step 0560 | loss 7.8926
step 0580 | loss 1.8801
step 0600 | loss 1.9437
step 0620 | loss 4.0092
step 0640 | loss 5.8964
step 0660 | loss 4.8324
step 0680 | loss 2.3547
step 0700 | loss 2.9390
step 0720 | loss 1.7082
step 0740 | loss 1.3345
step 0760 | loss 2.3391
step 0780 | loss 1.3658
step 0800 | loss 2.8060
step 0820 | loss 3.1764
step 0840 | loss 1.1802
step 0860 | loss 5.6102
step 0880 | loss 4.6844
step 0900 | loss 2.8107
step 0920 | loss 5.9869
step 0940 | loss 7.6651
step 0960 | loss 2.4537
step 0980 | loss 2.7293
step 1000 | loss 1.8044
step 1020 | loss 7.2661
step 1040 | loss 4.7185
step 1060 | loss 1.4188
step 1080 | loss 4.0376
step 1100 | loss 3.6965
step 1120 | loss 6.9371
step 1140 | loss 1.4198
step 1160 | loss 1.4715
step 1180 | loss 4.0910
step 1200 | loss 1.9893
step 1220 | loss 7.7139
step 1240 | loss 7.2451
step 1260 | loss 8.1469
step 1280 | loss 1.6129
step 1300 | loss 8.2160
step 1320 | loss 4.7569
step 1340 | loss 2.3339
step 1360 | loss 1.9053
step 1380 | loss 1.9797
step 1400 | loss 5.7464
step 1420 | loss 3.2732
step 1440 | loss 2.4777
step 1460 | loss 5.7515
step 1480 | loss 3.6697
step 1500 | loss 6.8401
step 1520 | loss 9.2348
step 1540 | loss 3.1472
step 1560 | loss 2.0159
step 1580 | loss 6.9748
step 1600 | loss 3.4105
step 1620 | loss 1.4309
step 1640 | loss 1.4802
step 1660 | loss 1.6207
step 1680 | loss 2.6798
step 1700 | loss 2.4255
step 1720 | loss 1.0316
step 1740 | loss 1.4910
step 1760 | loss 2.3833
step 1780 | loss 1.4426
step 1800 | loss 2.0964
step 1820 | loss 3.6334
step 1840 | loss 1.3159
step 1860 | loss 2.3363
step 1880 | loss 1.7597
step 1900 | loss 1.2717
step 1920 | loss 8.1826
step 1940 | loss 5.3590
step 1960 | loss 2.3821
step 1980 | loss 2.6063
step 2000 | loss 4.1500
step 2020 | loss 4.6503
step 2040 | loss 1.0949
step 2060 | loss 1.5827
step 2080 | loss 2.0189
step 2100 | loss 1.6946
step 2120 | loss 3.1505
step 2140 | loss 4.4326
step 2160 | loss 6.1305
step 2180 | loss 3.4226
step 2200 | loss 1.3531
step 2220 | loss 2.0927
step 2240 | loss 2.4647
step 2260 | loss 7.0139
step 2280 | loss 2.6022
